ID,Gender,Age,FieldOfStudy,FieldOfStudy_Other,CourseLanguage,UseCollabTools,Teams,Zoom,GoogleWorkspace,Slack,Trello,Notion,Miro,Mural,GitHub,Monday,Asana,Jira,OtherCollaborationTools,UseOtherTools,UserFriendliness,Functionality,Integration,Scalability,Cost,PrivacySecurity,Reliability,Mobility,Customizability,Feedback,Accessibility,Reputation,ImpactOnCollaboration,ImpactOnOrganization,ImpactOnCoordination,ImpactOnCommunication,ImpactOnParticipation,ImpactOnMotivation,SatisfactionWithToolsVariety,EffectiveToolIntegration,AdequacyOfTraining,EffectivenessOfSupport,InvolvementInDecisionMaking,ChallengeTechnicalIssues,ChallengeFamiliarity,ChallengeCommunication,ChallengeEngagement,ChallengeOrganization,ChallengePrivacySecurity,ChallengeSupportTraining,OtherDifficulties,ImpactOnAcademicPerformance,AdditionalComments
25,Female,20-24,Arts and Humanities,,(Swiss-)German,Yes,Weekly,Less frequently,Never,Never,Never,Never,Weekly,Never,Never,Never,Never,Never,Never,Webex,Agree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Neutral,Disagree,Agree,Disagree,Rarely,Rarely,Rarely,Sometimes,Never,Never,Never,,Very,
26,Male,20-24,Life Sciences and Medicine,,(Swiss-)German,Yes,Weekly,Less frequently,Never,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Never,,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Agree,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly disagree,Disagree,Agree,Agree,Disagree,Neutral,Neutral,Sometimes,Rarely,Often,Very often,Sometimes,Never,Sometimes,,Moderately,
27,Female,over 35 years,Life Sciences and Medicine,,(Swiss-)German,Yes,Several times a week,Less frequently,Less frequently,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Never,,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Neutral,Neutral,Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly disagree,Rarely,Sometimes,Never,Never,Rarely,Never,Rarely,,Extremely,
28,Male,20-24,"Science, Technology, Engineering and Mathematics",,(Swiss-)German,Yes,Several times a week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Daily,OneDrive (i dont know if this count),Agree,Agree,Neutral,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Strongly disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly disagree,Strongly disagree,Neutral,Agree,Neutral,Neutral,Strongly disagree,,,,,,,,,,
29,Male,20-24,"Science, Technology, Engineering and Mathematics",,(Swiss-)German,Yes,Weekly,Never,Never,Never,Never,Never,Less frequently,Never,Weekly,Never,Never,Never,Daily,OneDrive - Shared Ordner,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,,
30,Male,20-24,Life Sciences and Medicine,,(Swiss-)German,Yes,Less frequently,Several times a week,Several times a week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,Strongly Agree,Strongly Agree,Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Strongly Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Neutral,Agree,Neutral,Neutral,Disagree,Sometimes,Sometimes,Sometimes,Very often,Rarely,Sometimes,Often,,Not at all,
31,Female,20-24,Life Sciences and Medicine,,(Swiss-)German,Yes,Several times a week,Less frequently,Never,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Daily,Moodle,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Strongly disagree,Sometimes,Rarely,Rarely,Sometimes,Often,Rarely,Sometimes,,Slightly,
32,Female,25-29,Life Sciences and Medicine,,(Swiss-)German,Yes,Weekly,Less frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,Agree,Agree,Neutral,Disagree,Neutral,Disagree,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Rarely,Rarely,Sometimes,Sometimes,Rarely,Never,Never,,Not at all,
33,Female,25-29,Other,psychology,(Swiss-)German,Yes,Never,Less frequently,Daily,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Never,,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Strongly disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Often,Often,Rarely,Sometimes,Sometimes,Rarely,Often,Good notes,Slightly,"I am a analog type! I work with paper an pencil. Just need google docs to write thesises alone and in groups, because its nice to be able to acess the documents on all my digital providers. AndO use good notes during the lectures to write my notes with my apple pen;) me as a analog type does need this"
34,Female,30-34,Business and Economics,,(Swiss-)German,Yes,Several times a week,Less frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,Strongly Agree,Strongly Agree,Neutral,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,,,,,,,,,,,,,,,,,,,,,
35,Female,20-24,Life Sciences and Medicine,,(Swiss-)German,Yes,Daily,Less frequently,Never,Never,Never,Never,Less frequently,Less frequently,Never,Never,Never,Never,Never,no,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Agree,Neutral,Disagree,Agree,Disagree,Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,Sometimes,"not really, much more it faciliates working together in group poject from different locations.",Moderately,"i see s huge benefit in digital collaboration tools since uni courses are not always onsite, but also remote and also the students live al over the country which makes it harder to work together on projects in person. the dc.-tools help in those situations and make collaboration easy. "
36,Male,20-24,Business and Economics,,(Swiss-)German,Yes,Less frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Rarely,Rarely,Rarely,Sometimes,Rarely,Never,Never,,Slightly,
38,Female,20-24,Business and Economics,,(Swiss-)German,Yes,Weekly,Never,Less frequently,Never,Never,Several times a week,Never,Never,Never,Never,Never,Never,Never,No,Agree,Strongly Agree,Neutral,Disagree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Disagree,Disagree,Agree,Strongly disagree,Neutral,Neutral,Disagree,Rarely,Sometimes,Rarely,Sometimes,Never,Never,Sometimes,,Moderately,
39,Female,30-34,Social Sciences,,(Swiss-)German,Yes,Daily,Less frequently,Daily,Never,Less frequently,Never,Weekly,Never,Never,Never,Never,Never,Daily,"ChatGPT, Dall-E",Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Disagree,Disagree,Disagree,Rarely,Often,Often,Sometimes,Often,Rarely,Sometimes,,Moderately,"Ich studiere am Departement S und ich gehe davon aus, dass wir ein Departement sind, das weniger mit digitalen Tools arbeitet als andere Studiengänge (die digitale Affinität werte ich eher tief in unserer Berufsbranche (ich schreibe gerade selber eine Masterthesis zum Thema und die Auswertungen bestätigen die Hypothese). Deshalb wurden in Gruppenarbeiten häufig die gängigen Tools wie z.B. Dropbox, Mail und Whatsapp verwendet statt auf Collab-Tools auszuweichen. "
40,Female,25-29,Communication and Media Studies,,(Swiss-)German,Yes,Several times a week,Less frequently,Never,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Never,,Agree,Agree,Neutral,Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Neutral,Disagree,Never,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,,Moderately,
41,Female,20-24,Life Sciences and Medicine,,(Swiss-)German,Yes,Several times a week,Never,Less frequently,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Male,20-24,Life Sciences and Medicine,,(Swiss-)German,Yes,Several times a week,Several times a week,Never,Never,Never,Several times a week,Weekly,Never,Weekly,Never,Never,Never,Never,,Agree,Agree,Agree,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Sometimes,Rarely,Never,Never,Rarely,Never,Never,,Extremely,
43,Male,25-29,"Science, Technology, Engineering and Mathematics",,(Swiss-)German,Yes,Several times a week,Weekly,Weekly,Never,Never,Never,Never,Never,Weekly,Never,Never,Never,Never,,Agree,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,Neutral,Disagree,Agree,Neutral,Agree,Agree,Agree,Neutral,Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Strongly disagree,Rarely,Rarely,Rarely,Sometimes,Rarely,Sometimes,Rarely,"Professors not anouncing what tools they use, and professors not using the tools in the interests of students ",Slightly,
45,Female,under 20 years,Life Sciences and Medicine,,(Swiss-)German,Yes,Daily,Less frequently,Less frequently,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Daily,Microsoft Outlook ,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Neutral,Agree,Agree,Agree,Neutral,Strongly Agree,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,,Very,
46,Female,20-24,Life Sciences and Medicine,,(Swiss-)German,Yes,Weekly,Less frequently,Never,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Never,,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Neutral,,,,,,,,,,,,,,,,,,,,,
47,Female,20-24,Life Sciences and Medicine,,(Swiss-)German,Yes,Weekly,Less frequently,Less frequently,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Never,,Strongly Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Strongly Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,,Moderately,
48,Female,20-24,"Science, Technology, Engineering and Mathematics",,(Swiss-)German,Yes,Daily,Never,Several times a week,Never,Never,Never,Less frequently,Never,Less frequently,Never,Never,Never,Never,,Strongly Agree,Agree,Strongly Agree,Neutral,Neutral,Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Neutral,Disagree,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,Rarely,Sometimes,Rarely,Sometimes,Often,Never,Sometimes,,Moderately,
49,Male,25-29,Business and Economics,,(Swiss-)German,Yes,Daily,Less frequently,Less frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Neutral,Neutral,Strongly disagree,Neutral,Strongly disagree,Rarely,Rarely,Rarely,Sometimes,Rarely,Never,Rarely,,Moderately,
50,Female,20-24,Life Sciences and Medicine,,(Swiss-)German,Yes,Several times a week,Less frequently,Never,Never,Never,Several times a week,Never,Never,Never,Never,Never,Never,Less frequently,Webex,Agree,Agree,Strongly disagree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Neutral,Strongly disagree,Disagree,Agree,Neutral,Disagree,Neutral,Strongly disagree,Sometimes,Often,Rarely,Very often,Never,Sometimes,Very often,,Extremely,"For me, digital tools have a negative effect. I think it's better for my personal studies that I meet Humans in real life and not through tools. I can't focus and I can't study, most of the time I am disturbed by soething else in my room."
51,Female,20-24,Other,healthpromotion,(Swiss-)German,Yes,Weekly,Never,Never,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Never,canva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Male,20-24,"Science, Technology, Engineering and Mathematics",,(Swiss-)German,Yes,Daily,Never,Weekly,Never,Never,Never,Never,Never,Daily,Never,Never,Never,Never,,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly disagree,Never,Rarely,Never,Never,Rarely,Never,Never,,Moderately,
53,Female,25-29,Business and Economics,,(Swiss-)German,Yes,Daily,Less frequently,Never,Less frequently,Never,Less frequently,Less frequently,Never,Never,Never,Never,Less frequently,Never,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly Agree,Agree,Agree,Disagree,Strongly disagree,Sometimes,Rarely,Never,Never,Sometimes,Rarely,Rarely,,Moderately,
54,Female,20-24,Life Sciences and Medicine,,(Swiss-)German,Yes,Several times a week,Weekly,Never,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Never,No,Strongly Agree,Agree,Neutral,Neutral,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral,Neutral,Agree,Disagree,Agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Agree,Neutral,Disagree,Often,Sometimes,Rarely,Sometimes,Often,Rarely,Rarely,"difficulties to open uploaded documents, example(teams)",Moderately,
55,Female,25-29,Social Sciences,,(Swiss-)German,Yes,Several times a week,Less frequently,Never,Never,Never,Never,Weekly,Never,Never,Never,Never,Never,Never,,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,Strongly disagree,Often,Sometimes,Rarely,Rarely,Never,Rarely,Sometimes,,Moderately,
56,Male,20-24,Business and Economics,,(Swiss-)German,Yes,Weekly,Never,Several times a week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Sometimes,Rarely,Never,Rarely,Rarely,Rarely,Sometimes,,Very,
57,Female,20-24,Business and Economics,,English,Yes,Less frequently,Never,Less frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Disagree,Disagree,Agree,Disagree,Neutral,Disagree,Disagree,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,,Moderately,
59,Female,30-34,Business and Economics,,(Swiss-)German,Yes,Daily,Less frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Neutral,Agree,Agree,Agree,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Agree,Disagree,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,,Very,
